Name,API Name,Instance Memory,vCPUs,Instance Storage,Network Performance,On Demand
C6A Large,c6a.large,4.0 GiB,2 vCPUs,EBS only,Up to 12.5 Gigabit,$0.0765 hourly
C6A Extra Large,c6a.xlarge,8.0 GiB,4 vCPUs,EBS only,Up to 12.5 Gigabit,$0.1530 hourly
C6A Double Extra Large,c6a.2xlarge,16.0 GiB,8 vCPUs,EBS only,Up to 12.5 Gigabit,$0.3060 hourly
C6A Quadruple Extra Large,c6a.4xlarge,32.0 GiB,16 vCPUs,EBS only,Up to 12.5 Gigabit,$0.6120 hourly
C6A Eight Extra Large,c6a.8xlarge,64.0 GiB,32 vCPUs,EBS only,12.5 Gigabit,$1.2240 hourly
C6A 12xlarge,c6a.12xlarge,96.0 GiB,48 vCPUs,EBS only,18.75 Gigabit,$1.8360 hourly
C6A 16xlarge,c6a.16xlarge,128.0 GiB,64 vCPUs,EBS only,25 Gigabit,$2.4480 hourly
C6A 24xlarge,c6a.24xlarge,192.0 GiB,96 vCPUs,EBS only,37.5 Gigabit,$3.6720 hourly
C6A 32xlarge,c6a.32xlarge,256.0 GiB,128 vCPUs,EBS only,50 Gigabit,$4.8960 hourly
C6A 48xlarge,c6a.48xlarge,384.0 GiB,192 vCPUs,EBS only,50 Gigabit,$7.3440 hourly
C6A Metal,c6a.metal,384.0 GiB,192 vCPUs,EBS only,50 Gigabit,$7.3440 hourly
